Inventory Code,Item,Current On Hand,CAS #,IFC Hazard Class,Physical State,HMIS Qty,HMIS Units,NFPA (H/F/R/Spec),Primary Chemical Name,Storage Code,Classification Notes,Inventory Link
C-001,Lidocaine Forensic Kit,,54-64-8,HTX,S,,,4/0/0/-,Thimerosal,N/1/4,[CAS 54-64-8] Organomercury; highly toxic | TRACE: hazard is from ppm-level preservative/solvent in commercial kit - excluded from MAQ aggregation,https://www.neogen.com/4996bb/globalassets/pim/assets/original/10019/106716-1_106719-1_sds_en-ca.pdf
C-002,Methotrexate 1mg/mL,1 mL,133073-73-1,HTX,L,0.0003,GA,3/1/0/-,Methotrexate disodium,M/1/4,[CAS 133073-73-1] Cytotoxic antineoplastic drug,https://www.sigmaaldrich.com/US/en/sds/sigma/m8407?srsltid=AfmBOopt4giLbpgYItmt4kHJ5rMxrXGDtwG-pur3XBUghJPY5-Qas-nB
C-003,Rheumatoid factors,200 µL,6381-92-6; 26628-22-8; 26628-22-8,"HTX, WR2",S,0.0001,GA,1/0/0/-; 4/0/1/-; 4/0/1/-,EDTA disodium,N/1/4,[CAS 6381-92-6] Chelator | [CAS 26628-22-8] Highly toxic; water-reactive Class 2 (acid contact releases HN3); copper plumbing hazard | [CAS 26628-22-8] Highly toxic; water-reactive Class 2 (acid contact releases HN3); copper plumbing hazard | TRACE: hazard is from ppm-level preservative/solvent in commercial kit - excluded from MAQ aggregation,https://imgcdn.mckesson.com/CumulusWeb/Click_and_learn/SDS_SEDISE_REAGENT_CHEMISTRY_ATELLICA_RF_2X180TESTS_D_S.pdf
C-004,SPHERO Silica Superparamagnet Particles,200 µL,7732-18-5; 9003-53-6; 1309-37-1; 26628-22-8,"HTX, WR2",L,0.0001,GA,0/0/0/-; 0/1/0/-; 0/0/0/-; 4/0/1/-,Water,M/1/4,[CAS 7732-18-5] Water | [CAS 9003-53-6] Inert polymer | [CAS 1309-37-1] Magnetic core material | [CAS 26628-22-8] Highly toxic; water-reactive Class 2 (acid contact releases HN3); copper plumbing hazard | TRACE: hazard is from ppm-level preservative/solvent in commercial kit - excluded from MAQ aggregation,https://www.spherotech.com/SDS%20Mag%20products%20032620.pdf
C-005,Sodium Azide,25g,26628-22-8,"HTX, WR2",S,0.0551,LB,4/0/1/-,Sodium Azide,N/1/4,[CAS 26628-22-8] Highly toxic; water-reactive Class 2 (acid contact releases HN3); copper plumbing hazard,https://www.fishersci.com/store/msds?partNumber=S227I25&productDescription=SOD+AZIDE+GRAN+PURIF+25G+IND&vendorId=VN00033897&countryCode=US&language=en
C-006,Thimerosal,10g + 4-5g,54-64-8,HTX,S,0.022,LB,4/0/0/-,Thimerosal,N/1/4,[CAS 54-64-8] Organomercury; highly toxic,https://www.sigmaaldrich.com/US/en/sds/sigma/t5125?srsltid=AfmBOoqZHmHvifgQhotGQdG79pPeM9RqnxZN_yoXvZlgJjixjZ6jhznA
C-007,Thimersol,10g + 4-5g,54-64-8,HTX,S,0.022,LB,4/0/0/-,Thimerosal,N/1/4,[CAS 54-64-8] Organomercury; highly toxic,https://www.sigmaaldrich.com/US/en/sds/sigma/t5125?srsltid=AfmBOoomxaVN6U1FY2d0yifxVuAwgEiNz7ofJU5sxXyW2FEGBTPnKL0V
C-008,Hydrogen Peroxide Solution 1.97 g/ml,1L,7722-84-1,"OX2, COR, UR1",L,0.2642,GA,2/0/1/OX,Hydrogen Peroxide ~30%,M/1/4,[CAS 7722-84-1] 30% solution: Class 2 oxidizer + corrosive + unstable reactive Cl.1,https://www.sigmaaldrich.com/US/en/sds/sigald/216763?userType=anonymous
C-009,Acetone 4 L (VWR Chemicals),4L + 1L + 1 gallon,67-64-1,F1B,L,2.3209,GA,1/3/0/-,Acetone,N/1/4,[CAS 67-64-1] Flash 0°F,https://www.sigmaaldrich.com/US/en/sds/sigald/179124?userType=anonymous
C-010,"Ethyl Alcohol, Absolute, 200 Proof 4L",4L,64-17-5,F1B,L,1.0567,GA,2/3/0/-,Ethanol (Ethyl Alcohol) absolute,M/1/4,[CAS 64-17-5] Flash 55°F,https://www.sigmaaldrich.com/US/en/sds/mm/ex0280?userType=anonymous
C-011,"Hexane, mixture of Isomers",1L,110-54-3,"F1B, TOX",L,0.2642,GA,2/3/0/-,Hexane (mixture of isomers),M/1/4,"[CAS 110-54-3] Flash -9°F; Cat 2 aspiration tox, neurotoxin",https://www.sigmaaldrich.com/US/en/sds/sial/227064?userType=anonymous
C-012,Isopropyl Alcohol 99% 1L,5 gallons,67-63-0,F1B,L,5,GA,1/3/0/-,Isopropyl Alcohol 99%,N/1/4,[CAS 67-63-0] Flash 53°F,https://www.sigmaaldrich.com/US/en/sds/sigald/34863?userType=anonymous
C-013,Methanol,1L + 1L,67-56-1,"F1B, TOX",L,0.5283,GA,1/3/0/-,Methanol,M/1/4,[CAS 67-56-1] Flash 52°F; acute systemic toxin,https://www.fishersci.com/store/msds?partNumber=AC423950040&productDescription=METHYL+ALCOHOL%2C+ACS%2C+99.8%25+4L&vendorId=VN00033901&countryCode=US&language=en
