Inventory Code,Item,Current On Hand,CAS #,IFC Hazard Class,Physical State,HMIS Qty,HMIS Units,NFPA (H/F/R/Spec),Primary Chemical Name,Storage Code,Classification Notes,Inventory Link
D-001,Agarose,500 g,9012-36-6,NR,S,1.1023,LB,0/0/0/-,Agarose,M/1/4,[Medium] NFPA:explicit; no H-codes found,https://fannininnovationstudio.box.com/s/v8vkyc0hyior0hoc6wjv90olzg17elyb
D-002,Ammonium persulate,25 g (2); 100 g (1),7727-54-0,"TOX,OX2",S,0.3307,LB,3/0/0/OX,Ammonium persulate,M/1/4,"[High] H:H272,H302,H315,H317,H319,H334,H335,H402",https://www.sigmaaldrich.com/US/en/sds/sigma/a3678?srsltid=AfmBOorPQirNSo9xQ1wzJu8wtoqwntIHRh-CAW3ROYR4aWJrCQ4Yow7u
D-003,Bromphenol blue-xylene cyanole dye solution,5 mL,115-39-9 and 2650-17-1,TOX,L,0.0026,GA,3/0/0/-,Bromphenol blue-xylene cyanole dye solution,M/1/4,"[High] H:H319,H332,H360,H373,H402; manual-override:state",https://fannininnovationstudio.box.com/s/qsx67pmonxccevml5r5vv92p59is9cz3
D-004,BupH MES buffered saline packs,1 L,7732-18-5 and 7647-14-5 and 145224-94-8,NR,L,0.2642,GA,0/0/0/-,BupH MES buffered saline packs,M/1/4,[Medium] NFPA:explicit; no H-codes found,https://www.fishersci.com/store/msds?partNumber=AAJ61979AP&productDescription=MES-BUFFERD+SALINE+%28+6.5+500ML&vendorId=VN00024248&countryCode=US&language=en
D-005,Calcium chloride anhydrous,500 g,10043-52-4; 500 g,NR,S,1.1023,LB,0/0/0/-,Calcium chloride anhydrous,M/1/4,[High] no H-codes found; manual-override:state,https://fannininnovationstudio.box.com/s/houvx5pfbqx0jscosetkbmvzewyodhrw
D-006,Calcium chloride Dihydrate,50 g,10035-04-8,NR,S,0.1102,LB,1/0/0/-,Calcium chloride Dihydrate,M/1/4,[High] H:H319,https://fannininnovationstudio.box.com/s/ei4z87qle3s8mrg9jzz4qk2yngtqdzfk
D-007,Carbonate-bicarbonate buffer,100 capsules,497-19-8,NR,S,,,1/0/0/-,Carbonate-bicarbonate buffer,M/1/4,[High] H:H319; manual-override:state,https://www.sigmaaldrich.com/US/en/sds/sigma/c3041?userType=anonymous
D-008,Copper (II) sulfate pentahydrate,50 g,7758-99-8,"TOX,COR",S,0.1102,LB,3/0/0/-,Copper (II) sulfate pentahydrate,M/1/4,"[High] H:H302,H318,H400,H410",https://fannininnovationstudio.box.com/s/oka20yg8w3p1xphksnrevud84pv40vx6
D-009,Dimethyl sulfoxide,50 mL,67-68-5,C3A,L,0.0132,GA,0/1/0/-,Dimethyl sulfoxide,M/1/4,[High] H:H227; FP=87.2C,https://www.sigmaaldrich.com/US/en/sds/sigma/d8418?srsltid=AfmBOopoY2fKWP7fpNiF-Qou9Lxv2lC4iDo2IerdaZ-NSZC8JzKHLUFU
D-010,Desiccant-anhydrous,453.6 g,7778-18-9,NR,S,1,LB,0/0/0/-,Desiccant-anhydrous,M/1/4,"[High] H:H302,H317,H318,H319,H334,H341,H350,H351,H360,H401,H410,H412; manual-override:ifc,state,nfpa",https://secure.drierite.com/IndicatingDrieriteSDS.pdf
D-011,Electrophoresis Grade,50 ml,110-18-9,"COR,F1B",L,0.0528,GA,3/2/0/-,Electrophoresis Grade,M/1/4,"[High] H:H225,H302,H314,H318,H332; FP=21.0C; manual-override:ifc,state,nfpa",https://fannininnovationstudio.box.com/s/428hln355wsttgpyggsebupzgvi4iusb
D-012,Ethanolamine,25 ml,141-43-5,"TOX,COR,C3A",L,0.0066,GA,3/1/0/-,Ethanolamine,M/1/4,"[High] H:H227,H302,H312,H314,H332,H335,H401,H412; FP=91.1C",https://fannininnovationstudio.box.com/s/sxy3xjkrs3sjrgo4fr9q3nmo4yvx3yiq
