BREVITEST,,,,,,,,,,,,,,,Datasheet Box Link: https://app.box.com/folder/379359319033,,,,,,,,,,,,,,,,,,,,,,,,
Tag #,Equiment,Bench/Floor,Location,QTY,Dimensions (Inches),,,Power,Watts,Amps,Generator,Notes,Location,Total Linch,Datasheet URL,,,,,,,,,,,,,,,,,,,,,,,,
Spec Sheet,,,,,W,D,H,,,,Power,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B-01,tall glass door fridge,Floor,,1,24,26,60,120,264,2.3,Yes,Added,Manufacturing,24,https://americanbiotechsupply.com/product/abt-hc-10pg/,,,,,,,,,,,,,,,,,,,,,,,,
B-02,5' SPU build station 2 Tables,Floor,B-02,2,60,36,36,120,,,,"Need grounding,,ESD tables. need 1 NEW",Manufacturing,120,,,,,,,,,,,,,,,,,,,,,,,,,
B-03,SPU,Floor,B-22,50,8,5,4,120 (each),168,1.4,,on  new shelving  with own outlet,Open Lab,,,,,,,,,,,,,,,,,,,,,,,,,,
B-04,6' Work Tables,Floor,,2,72,36,36,N/A,N/A,N/A,,,Manufacturing,144,,,,,,,,,,,,,,,,,,,,,,,,,
B-05,8' Work Tables,Floor,,2,96,36,36,N/A,N/A,N/A,,,Manufacturing,192,,,,,,,,,,,,,,,,,,,,,,,,,
B-06,Middle Tables,Floor,,4,46,31,34,N/A,N/A,N/A,,,Manufacturing,184,,,,,,,,,,,,,,,,,,,,,,,,,
B-07,Middle Table 2,Floor,,1,56,24,34,N/A,N/A,N/A,,,Manufacturing,56,,,,,,,,,,,,,,,,,,,,,,,,,
B-08,Little table ,Floor,,1,60,24,25,N/A,N/A,N/A,,No power requirements,Manufacturing,60,,,,,,,,,,,,,,,,,,,,,,,,,
B-09,New Benches,Floor,,2,72,,36,N/A,N/A,N/A,,"New benches to replace 140"" counter",Manufacturing,144,,,,,,,,,,,,,,,,,,,,,,,,,
B-10,Heater,UC,,2,25,20,26,120,600,5.45,,Need plug undercounter,Manufacturing,,https://www.amazon.com/Commercial-Warming-Temperature-Capacity-Catering/dp/B0F244JVQD/ref=sr_1_5?dib=eyJ2IjoiMSJ9.SG9no2sNtRz4pGRk7vJqtrM2XAgn-Zp0MxT9je6sTwqhB0ZNWyPX_0XHDTOrmnqhjdtIaEsJQFXXm5VX_dhKEKXyreh25lSHI4YrvVv-rx5DsW988jit5gtwoBiM6oS_2B8jfNXjezrYDOjWkY-MyGTpHfMqpAW0d_8w0jDE29cfibjDLRsL4dduJx8MwIfvwg4C_oEWpvA7gbMh4wxtTRpy6Py4PVyxlqECl-8T9UA.3Sz233Nf1lnRy1UOO2cV4tLcMbemCE4EEqI9Ltfw6M4&dib_tag=se&hvadid=675388834244&hvdev=c&hvexpln=0&hvlocphy=9199188&hvnetw=g&hvocijid=3504619992950282015--&hvqmt=e&hvrand=3504619992950282015&hvtargid=kwd-2217994024039&hydadcr=26045_13484660&keywords=hot%2Bbox%2Bfood%2Bwarmer%2Belectric&mcid=7030608662e13c1993fc977fe3689828&qid=1761862230&refinements=p_36%3A-26500&rnid=2661611011&sr=8-5&th=1,,,,,,,,,,,,,,,,,,,,,,,,
B-11,6' Folding Tables,Floor,,3,72,25,29,N/A,N/A,N/A,,keep in lab for now,Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,
B-12,White Fridge,Floor,,1,30,28,66,120,200,1.74,Yes,,Open Lab,30,https://americanbiotechsupply.com/product/abt-hc-ucbi-0404g-ada-4-6-cu-ft-premier-undercounter-refrigerator-built-in-ada/,,,,,,,,,,,,,,,,,,,,,,,,
B-13,Main R&D Fridge,Floor,,1,29,30,64,120,360,3,Yes,,Open Lab,29,https://www.frigidaire.com/en/p/kitchen/refrigerators/top-freezer-refrigerators/FFTR1814WW,,,,,,,,,,,,,,,,,,,,,,,,
