Tag #,Equipment,Bench/Floor,Bench Location,QTY,W,D,H,Power (V),Watts,Amps,Generator,Notes,Location,Total Linch,Datasheet URL,Status,Confidence %,Claude Comments
F-01,Biosafety cabinet,Floor,,1,53.4,29,71,120,1150,10,Yes,"Our scientists have had issues when the power goes out. We work with human cells, blood, animal organs, and other biological samples.",Tissue Culture,,https://www.nuaire.com/products/biosafety-cabinets/labgard-class-ii-type-a2-biosafety-cabinet-nu-540,Confirmed,95,"Nuaire NU-540 PDF datasheet (you provided). 115V/60Hz, rated 10A, ~1150W. Power cord = 12-foot 14GA 3-wire 15A. A biosafety cabinet has a built-in blower + HEPA filter + UV lamp - that's why it draws ~10A even though it looks like a hood."
F-02,6' Bench,Floor,,1,72,36,36,N/A,N/A,N/A,,,Tissue Culture,,,N/A,100,Furniture (laboratory bench). No power required.
E-94,Nuare Benchtop CO2 incubator,Bench,F-02,1,28,28,37,120,1150,10,Yes,Plus 2 CO2 cylinders,Tissue Culture,,https://www.nuaire.com/products/co2-incubators/direct-heat/in-vitrocell-nu-5700-direct-heat-co2-incubator,Estimate,80,"Nuaire NU-5700 PDF (you provided) confirms 115V/60Hz but the rated amps weren't on the page I read. Class-typical for a 160L direct-heat CO2 incubator with heaters + HEPA blower is ~10A/~1150W. Photograph the back-panel nameplate to confirm. A CO2 incubator is a heated, humidified box at 37C/5% CO2 to grow cell cultures."
E-95,MSE PRO Ultra Pure Water Filtration System,Bench,New fixed counter sink,1,12.28,18.7,18.7,NA,60,0.55,,,Tissue Culture,,https://www.msesupplies.com/products/mse-pro-ultra-pure-water-filtration-system,Confirmed,90,"MSE PRO MA1040 product page (msesupplies.com) lists 110V/60Hz/48-72W. Watts midpoint = 60, amps = 60/110 = ~0.55A. The unit internally runs 24VDC but plugs into a normal wall outlet. Produces ultra-pure (Type I) water for sensitive lab work."
E-96,Nikon inverted phase contrast microscope,Bench,F-02,1,9,13,26,120,50,0.42,,,Tissue Culture,,,Estimate,50,No sticker/model provided. Nikon inverted phase-contrast microscopes (TS100/TS2/Eclipse class) typically draw ~30-100W from a small power brick. Used 50W class-typical / ~0.42A. Photograph the lamp housing's nameplate or wall adapter for an exact figure. Inverted microscopes look up from below the sample - used for living cells in culture.
E-97,Thermoscientific -20 Small Freezer,Under counter,F-02,1,22,25,33,120,460,4,Yes,,Tissue Culture,,,Estimate,50,"No sticker (the 4 freezer JPGs you provided are GE/Sears, not Thermo). Class-typical for a Thermo 5cu.ft. undercounter -20C lab freezer is 115V/4A/~460W. Photograph the back-panel nameplate to confirm."
E-98,Fischer Scientific Benchtop Oven (incubator),Bench,F-16,1,28,24,33,120,1500,12.5,,,Open Lab,,,Estimate,50,"No sticker / model number for this exact unit. The 28x24x33"" footprint matches the Fisher Isotemp Forced-Air ovens (Model 800 series) which run ~1500W/12.5A at 120V. Photograph the model plate to confirm. A drying/heating oven for glassware sterilization or sample drying."
E-99,Alpha Innotech Multiimager,Bench,F-16,1,38,27,39,120,360,3,,with computer attached,Open Lab,,https://americanlaboratorytrading.com/lab-equipment-products/alpha-innotech-fluorchem-fc2-imaging-system-10537/,Confirmed,95,"'Alpha Innotech.png' sticker. Alpha Innotech FluorChem FC2 imager. 100-120V/3A or 200-240V/3A, 50/60Hz. Watts = 120 x 3 = 360W. An imager is a camera-based instrument that photographs gels (DNA/protein bands) under UV/blue light."
E-100,Octet Red 96 Biolayerinterferometric,Bench,F-16,1,36,37,23,120,240,2,,Dell desktop computer attached,Open Lab,,https://www.richmondscientific.com/product/fortebio-octet-red96-assay-system,Estimate,60,'Octet.png' sticker confirms model (ForteBio Octet RED96) but says instrument runs on 24VDC from external brick - so AC draw depends on the brick. Class-typical brick: ~240W AC at 120V (~2A). Photograph the brick label for exact AC rating. Octet measures real-time biomolecule binding kinetics by biolayer interferometry.
E-101,Shimadzu UV-1650PC Spectrophotometer,Bench,F-16,1,24,37,10,120,160,1.33,,Dell desktop computer attached,Open Lab,,https://www.rescienceinc.com/product-page/shimadzu-uv-1650pc-uv-vis-spectrophotometer,Confirmed,95,"'UV 1650 PC.png' sticker. Shimadzu UV-1650 PC spectrophotometer. 120V/50-60Hz/160VA. VA ~ Watts for resistive loads. Amps = 160/120 = ~1.33A. A UV-Vis spectrophotometer measures light absorbance to quantify DNA, protein, dyes etc."
